date,user,type,value,tags,tweet_url
2026-08-25 13:06:38,TheM3gatr0n,url,http://frontend148.blob.core.windows.net/main/remote_stager.py,,https://x.com/TheM3gatr0n/status/2092237213174214656
2026-08-25 13:06:38,TheM3gatr0n,domain,frontend148.blob.core.windows.net,,https://x.com/TheM3gatr0n/status/2092237213174214656
2026-08-13 16:45:05,TheDFIRReport,url,http://frontend148.blob.core.windows.net,,https://x.com/TheDFIRReport/status/2087943536066925004
2026-08-13 16:45:05,TheDFIRReport,domain,frontend148.blob.core.windows.net,,https://x.com/TheDFIRReport/status/2087943536066925004
